pop1	pop2	FST	fst_slope	outlier_slope
Gotland_Sweden	Westerheide	0.002869	-0.0322879640379856	-0.349925070412338
Gotland_Sweden	Wytham_UK	0.0056284	-0.0335293192624718	-0.563954019436813
Gotland_Sweden	Zurich_Switzerland	0.00680659	-0.00791330960415705	-0.0781269543113562
Gotland_Sweden	Zvenigorod_Russia	0.00228569	0.0200856283062223	0.0301964083829693
Harjavalta_Finland	Italy	0.00630321	-0.0130979387237977	-0.238352397820534
Harjavalta_Finland	La_Rouviere_France	0.00549935	-0.010708073854094	-0.187436972237693
Harjavalta_Finland	Loch_Lomond_Scotland	0.0170403	-0.0322465000864634	-1.39667856034035
Harjavalta_Finland	Mariola_Spain	0.0149639	-0.0332237721642983	-0.276009214279359
Harjavalta_Finland	Montpellier_France	0.00786487	-0.0190375766503593	-0.089871845685872
Harjavalta_Finland	Oulu_Finland	0.00489254	-0.00620910478868077	-0.102086293468137
Harjavalta_Finland	Pilis_Mountains_Hungary	0.00225729	-0.0150619506333177	-0.0303009332182868
Harjavalta_Finland	Pirio_Muro_Corsica	0.0303162	-0.0516370364056144	-0.272190344061393
Harjavalta_Finland	Radolfzell_Germany	0.0076859	-0.00115776377807651	-0.0636819222826367
Harjavalta_Finland	Romania	0.00108075	0.0121010276631103	0.0284092900210397
Harjavalta_Finland	Sardinia	0.0504656	-0.0468374759526764	-0.739837634918956
Harjavalta_Finland	Seewisen_Germany	0.00468488	0.00141873687347559	-0.195032217780729
Harjavalta_Finland	Tartu_Estonia	0.00227749	-0.011936843638721	0.00283683181040915
Harjavalta_Finland	Turkey	0.00331541	-0.00653759922381297	-0.0557575343277702
Harjavalta_Finland	Velky_Kosir_Czech_Republic	0.00434847	0.000654689217103921	-0.0226083242923001
Harjavalta_Finland	Vienna_Austria	0.00205067	-0.00539717036113801	-0.0304408172485844
Harjavalta_Finland	Vlieland_NL	0.0105966	0.000682985733244311	0.00465396436412383
Harjavalta_Finland	Westerheide	0.00288524	-0.0266300190134554	-0.223101752134766
Harjavalta_Finland	Wytham_UK	0.00556094	-0.0321124543962846	-0.454335223043369
Harjavalta_Finland	Zurich_Switzerland	0.0066528	0.00360772350820002	-0.0805736826463026
Harjavalta_Finland	Zvenigorod_Russia	0.00228342	0.000711444213512504	-0.0150119464003052
Italy	La_Rouviere_France	0.00758541	0.0137905263316058	-0.0346533862801551
Italy	Loch_Lomond_Scotland	0.019782	-0.025119266474999	-1.42259278248361
Italy	Mariola_Spain	0.0174915	-0.0152662407127811	-0.00146229667545069
Italy	Montpellier_France	0.0101136	0.0223923362469367	0.0457753468179
Italy	Oulu_Finland	0.00885611	-0.0116121249078517	-0.0973947326759785
Italy	Pilis_Mountains_Hungary	0.00436213	-0.00393772689726097	-0.0483516732855609
Italy	Pirio_Muro_Corsica	0.0343836	-0.0290121939463013	-0.347218065160464
Italy	Radolfzell_Germany	0.0100179	0.00871360299324178	0.0603967399228624
Italy	Romania	0.000300337	0.0165447617623243	-0.0188668321028008
Italy	Sardinia	0.0523016	-0.0334315497216887	-0.484998544923416
Italy	Seewisen_Germany	0.00697852	0.00146479619127112	-0.301459514815465
Italy	Tartu_Estonia	0.00474232	0.00396153049196358	0.0392349218369205
Italy	Turkey	0.00231154	0.00143431880912191	-0.453914596769493
Italy	Velky_Kosir_Czech_Republic	0.00676347	-0.00608023648238063	-0.0545571427274625
Italy	Vienna_Austria	0.0040938	-0.00133312100942889	-0.101085899446446
Italy	Vlieland_NL	0.0131203	0.00191902062836161	-0.00254048097841426
Italy	Westerheide	0.00486693	-0.00799601011476444	0.00959522724974874
Italy	Wytham_UK	0.00751923	-0.0269832894264691	-0.423741996690787
Italy	Zurich_Switzerland	0.00895791	-0.00804490283168742	-0.0147522476673834
Italy	Zvenigorod_Russia	0.00464771	0.00188979690450748	-0.000599878631075304
La_Rouviere_France	Loch_Lomond_Scotland	0.0189542	-0.0339914244715108	-0.468707176575905
La_Rouviere_France	Mariola_Spain	0.0167948	-0.0190522025696557	-0.362453781447725
La_Rouviere_France	Montpellier_France	0.00515265	-0.0113654411559783	-0.218841865952639
La_Rouviere_France	Oulu_Finland	0.00844049	-0.012478824635234	-0.121374406415532
La_Rouviere_France	Pilis_Mountains_Hungary	0.00393065	0.00707113516578954	-0.0777935482068655
La_Rouviere_France	Pirio_Muro_Corsica	0.0329924	-0.0396956707336933	-0.30868262244677
La_Rouviere_France	Radolfzell_Germany	0.00921497	0.0121365806062171	-0.0104749486955466
La_Rouviere_France	Romania	0.0026005	0.0089928819471266	-0.0191892102939762
La_Rouviere_France	Sardinia	0.0531662	-0.029432029977941	-0.322783389461867
La_Rouviere_France	Seewisen_Germany	0.00630071	0.0115213935575524	-0.00094509431874578
La_Rouviere_France	Tartu_Estonia	0.00404683	-0.00953532396868077	-0.151866490247809
La_Rouviere_France	Turkey	0.00464989	0.00292972169159061	0.0123795120081859
La_Rouviere_France	Velky_Kosir_Czech_Republic	0.00582121	-0.00305747112445827	-0.166888083030245
La_Rouviere_France	Vienna_Austria	0.00366014	-0.00594036137425276	-0.275591551239403
La_Rouviere_France	Vlieland_NL	0.0124366	0.00514378876134122	0.043366997625216
La_Rouviere_France	Westerheide	0.0043137	-0.0104322996497862	-0.332317123780388
La_Rouviere_France	Wytham_UK	0.00692668	-0.0388724523088766	-1.87432497797766
La_Rouviere_France	Zurich_Switzerland	0.00828605	0.00368333094203412	-0.0629807379553322
La_Rouviere_France	Zvenigorod_Russia	0.00404525	0.00202892557584068	0.0254692351470663
Loch_Lomond_Scotland	Mariola_Spain	0.0264831	-0.0253680999017252	-0.333321695628737
Loch_Lomond_Scotland	Montpellier_France	0.0210241	-0.0269542288335661	-0.40237672696776
Loch_Lomond_Scotland	Oulu_Finland	0.0200482	-0.0307293725140994	-0.133349938333756
Loch_Lomond_Scotland	Pilis_Mountains_Hungary	0.0157749	-0.02083394073708	-0.0877893186645406
Loch_Lomond_Scotland	Pirio_Muro_Corsica	0.0431938	-0.0418268595642899	-0.183232054166515
Loch_Lomond_Scotland	Radolfzell_Germany	0.0210565	-0.0211040534098366	-0.252448991962139
Loch_Lomond_Scotland	Romania	0.0158396	-0.00172925218774408	-0.139847335504958
Loch_Lomond_Scotland	Sardinia	0.0632316	-0.0334470703180994	-0.551336955501985
Loch_Lomond_Scotland	Seewisen_Germany	0.0181554	-0.0261734089998222	-0.415781901485633
Loch_Lomond_Scotland	Tartu_Estonia	0.0157744	-0.0256356723444317	-0.11030884992377
Loch_Lomond_Scotland	Turkey	0.0173214	-0.0266125247604394	-0.0172834551181956
Loch_Lomond_Scotland	Velky_Kosir_Czech_Republic	0.0175137	-0.0176639246592186	-0.100948231448861
Loch_Lomond_Scotland	Vienna_Austria	0.0153435	-0.0179941323377159	-0.0945767453211021
Loch_Lomond_Scotland	Vlieland_NL	0.0238561	-0.0174015262118273	-0.289900096775479
Loch_Lomond_Scotland	Westerheide	0.0160809	-0.0311204253005515	-0.456658031836483
Loch_Lomond_Scotland	Wytham_UK	0.0144008	0.00170424245185559	0.00850131470703252
Loch_Lomond_Scotland	Zurich_Switzerland	0.0198644	-0.0152071995381314	-0.77094358541841
Loch_Lomond_Scotland	Zvenigorod_Russia	0.016058	-0.0234450285039222	-0.0712854472199808
Mariola_Spain	Montpellier_France	0.0187668	-0.0248663551826989	-0.35585222651889
Mariola_Spain	Oulu_Finland	0.0178144	-0.0399229908344392	-0.558680274195887
Mariola_Spain	Pilis_Mountains_Hungary	0.0135946	-0.0337121758731268	-0.253595902025574
Mariola_Spain	Pirio_Muro_Corsica	0.0400072	-0.0369073834218935	-0.614631396527405
Mariola_Spain	Radolfzell_Germany	0.0188319	-0.0293296957663943	-0.0385482057046336
Mariola_Spain	Romania	0.0136396	0.0109351312430931	0.0323749096387883
Mariola_Spain	Sardinia	0.0602344	-0.0287596999607434	-0.44928719065459
Mariola_Spain	Seewisen_Germany	0.015643	-0.0257226991908324	-0.234862546177577
Mariola_Spain	Tartu_Estonia	0.0136565	-0.0283851443565498	-0.470372348805383
Mariola_Spain	Turkey	0.014425	0.0037651545302526	0.0167304218812427
Mariola_Spain	Velky_Kosir_Czech_Republic	0.015443	-0.0252918782851002	-0.303828441388774
Mariola_Spain	Vienna_Austria	0.0132247	-0.0148205188014167	-0.0257052171970741
Mariola_Spain	Vlieland_NL	0.0216601	-0.0161265665836319	-0.109177390923604
Mariola_Spain	Westerheide	0.0137531	-0.0401624422899159	-0.439492341901369
